,,,,,,featureType,,,,,maxDate,minDate,,,,,,,,,,,,,,,,,,,,,
"Becker, J., R. Horne","24.1749085, 38.1771519, 24.1749085, 38.1771519",2014-06-25T20:04:39Z,jbecker,3,Representative location based on OpenStreetMap.,island,"{""type"": ""Point"", ""coordinates"": [24.1749085, 38.1771519]}",osm-location,precise,"representative,",2100,1700,2016-07-27T12:23:13Z,/places/540605/osm-location,/places/540605,38.1771519,"38.1771519,24.1749085",24.1749085,,M,modern,"1700.0,2100.0",OSM location of Styra (island),11fdd711849b4c943c90a07dbb649d25,,,,,33,Early Modern,AFRICA,1450,1
"Becker, J.","23.87, 38.53, 23.87, 38.53",2013-02-10T15:53:31Z,jbecker,1,Coordinates after BAtlas; verified in Google Earth 2013 with reference to Wikipedia.,island,"{""type"": ""Point"", ""coordinates"": [23.87, 38.53]}",location-of-euboea-ins,precise,representative,2100,1700,2013-03-07T15:01:03Z,/places/540775/location-of-euboea-ins,/places/540775,38.53,"38.53,23.87",23.87,,M,modern,"1700.0,2100.0",location of Euboea Ins.,aed8c2ce5f9aae6951e9ca1a029a310a,,,,,31,Early Modern,AFRICA,1450,1
"Becker, J., R. Horne","22.943797, 38.9254743, 22.943797, 38.9254743",2014-06-25T17:06:37Z,jbecker,2,Representative location based on OpenStreetMap.,island,"{""type"": ""Point"", ""coordinates"": [22.943797, 38.9254743]}",osm-location,precise,,2100,1700,2016-07-27T02:25:04Z,/places/540955/osm-location,/places/540955,38.9254743,"38.9254743,22.943797",22.943797,,M,modern,"1700.0,2100.0",OSM location of Myonessos Ins.,d5f3b2409587b832f9f8f55954e863e1,,,,,32,Early Modern,AFRICA,1450,1
"Becker, J., A. De Graauw, T. Elliott","23.716667, 39.116667, 23.716667, 39.116667",2013-02-08T20:54:19Z,jbecker,2,Coordinates after Wikipedia; verified in Google Earth 2013.,island,"{""type"": ""Point"", ""coordinates"": [23.716667, 39.116667]}",location-of-peparethus-ins,precise,"representative,",2100,1700,2016-08-14T15:20:28Z,/places/541024/location-of-peparethus-ins,/places/541024,39.116667,"39.116667,23.716667",23.716667,,M,modern,"1700.0,2100.0",Imagery location of Skopelos,c0edaeabc6d47b48fa4eac4892942f2a,,,,,32,Early Modern,AFRICA,1450,1
"Becker, J.","8.8586625, 45.9029792, 9.12526, 46.036324",2020-03-30T13:19:50Z,jbecker,1,Representative location based on OpenStreetMap.,lake,"{""type"": ""Polygon"", ""coordinates"": [[[8.9037106, 45.9029792], [8.9035156, 45.9029909], [8.9023579, 45.9031175], [8.9021159, 45.9031535], [8.9020017, 45.9031771], [8.9016905, 45.9032598], [8.8990282, 45.9045851], [8.8969842, 45.9056912], [8.8968992, 45.9057458], [8.8965936, 45.9059623], [8.8964002, 45.9062035], [8.8602414, 45.9627264], [8.8594172, 45.9640431], [8.8590948, 45.9646033], [8.8586864, 45.9656473], [8.8586625, 45.9657439], [8.8587565, 45.9667624], [8.8606139, 45.9694496], [8.8607448, 45.9696065], [8.8969798, 45.9924887], [8.9065264, 45.9950773], [9.0425533, 46.0246193], [9.1153701, 46.0362184], [9.1158506, 46.0362928], [9.1161094, 46.036324], [9.1162395, 46.0363143], [9.1164332, 46.0362391], [9.1220463, 46.0328456], [9.1229931, 46.0320589], [9.12311, 46.0318949], [9.123526, 46.0310643], [9.1250727, 46.0279612], [9.1252449, 46.0270353], [9.12526, 46.0267779], [9.1249407, 46.0255878], [9.1248681, 46.0254143], [9.1248288, 46.0253809], [8.9804678, 45.9056694], [8.9799986, 45.9054334], [8.9799339, 45.9054081], [8.9793668, 45.905288], [8.9787908, 45.9051862], [8.9785237, 45.905149], [8.9782941, 45.9051261], [8.9763354, 45.9049567], [8.9037106, 45.9029792]]]}",osm-location-of-lago-di-lugano,precise,representative,2100,1700,2020-04-19T11:57:38Z,/places/383615/osm-location-of-lago-di-lugano,/places/383615,45.97102521,"45.9710252077,8.96562758746",8.965627587,,M,modern,"1700.0,2100.0",OSM location of Lago di Lugano,1d860f9829ba4461929f78508007a30c,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","28.0258672, 38.3104764, 28.0258672, 38.3104764",2013-06-04T18:33:05Z,jbecker,2,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [28.0258672, 38.3104764]}",location-of-goelcuk,precise,representative,2100,1700,2020-03-30T13:26:16Z,/places/550939/location-of-goelcuk,/places/550939,38.3104764,"38.3104764,28.0258672",28.0258672,,M,modern,"1700.0,2100.0",OSM location of GÃ¶lcÃ¼k,ac81546a2f727c00f898043a016c9042,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J., R. Horne","36.009078, 40.906642, 36.009078, 40.906642",2013-02-25T17:21:12Z,jbecker,1,Representative location based on Google Earth.,lake,"{""type"": ""Point"", ""coordinates"": [36.009078, 40.906642]}",location-of-stiphane-limne,precise,representative,2100,1700,2017-09-14T15:00:07Z,/places/857335/location-of-stiphane-limne,/places/857335,40.906642,"40.906642,36.009078",36.009078,,M,modern,"1700.0,2100.0",Google Earth imagery location of Stiphane Limne,7a475f4081d2c39f104f94446c0f4a1d,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","10.8917214, 42.9863511, 10.8985126, 42.9900374",2017-09-30T16:24:45Z,jbecker,1,Representative location of the modern shoreline of the lake based on a way derived from OpenStreetMap.,lake,"{""type"": ""Polygon"", ""coordinates"": [[[10.8949077, 42.9863511], [10.894752, 42.9863942], [10.893366, 42.986974], [10.8931862, 42.9870654], [10.8917551, 42.9878691], [10.8917214, 42.9879891], [10.891775, 42.988058], [10.8919398, 42.988209], [10.8921639, 42.988393], [10.8938239, 42.9895486], [10.8940278, 42.9896785], [10.8942385, 42.9897741], [10.895268, 42.989981], [10.8957022, 42.9900143], [10.8961494, 42.9900297], [10.8965914, 42.9900374], [10.8969912, 42.9900297], [10.8973726, 42.989914], [10.8978645, 42.9896772], [10.8984988, 42.9890215], [10.898506, 42.9889928], [10.8985126, 42.9889023], [10.8983515, 42.988295], [10.8982308, 42.9880215], [10.8981382, 42.9878744], [10.8974, 42.98715], [10.8965832, 42.9867109], [10.8964398, 42.9866683], [10.8950845, 42.9863604], [10.8949077, 42.9863511]]]}",osm-location-of-lago-dellaccesa-lake,precise,representative,2100,1700,2017-10-27T21:44:02Z,/places/532675709/osm-location-of-lago-dellaccesa-lake,/places/532675709,42.98824836,"42.9882483613,10.8952010404",10.89520104,,M,modern,"1700.0,2100.0",OSM location of Lago dell'Accesa (lake),f65230c6548d4eb9b362b96ab0a54594,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","14.0770097, 40.8280653, 14.0834113, 40.8302923",2019-08-10T14:47:07Z,jbecker,1,Representative location based on OpenStreetMap.,lake,"{""type"": ""Polygon"", ""coordinates"": [[[14.0782214, 40.8280653], [14.0776662, 40.8281699], [14.0771561, 40.828331], [14.0770338, 40.8287888], [14.0770097, 40.8289731], [14.0770146, 40.8290503], [14.0770626, 40.8291109], [14.0774575, 40.8292993], [14.0796805, 40.8299357], [14.0808821, 40.8302085], [14.0815083, 40.8302923], [14.082255, 40.8301352], [14.0832689, 40.8298586], [14.0833842, 40.8298117], [14.0834113, 40.8296183], [14.0821267, 40.8290005], [14.0816203, 40.8287862], [14.0782214, 40.8280653]]]}",osm-location-of-lago-lucrino,precise,representative,2100,1700,2019-08-13T00:01:58Z,/places/432915/osm-location-of-lago-lucrino,/places/432915,40.82918656,"40.8291865618,14.0801125239",14.08011252,,M,modern,"1700.0,2100.0",OSM location of Lago Lucrino,5b30974ed7b74b2db98d8bfb09933aec,,,,,36,Early Modern,AFRICA,1450,1
"Becker, J.","37.0476147, 12.1819852, 37.0476147, 12.1819852",2013-11-05T05:44:00Z,jbecker,2,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [37.0476147, 12.1819852]}",location-of-lake-tana,precise,representative,2100,1700,2020-12-17T18:56:27Z,/places/416452801/location-of-lake-tana,/places/416452801,12.1819852,"12.1819852,37.0476147",37.0476147,,M,modern,"1700.0,2100.0",OSM location of Lake Tana,26db97de6c1ec6f8c89e51016e86f067,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","18.8746442, 30.0948151, 18.8746442, 30.0948151",2013-06-30T20:49:17Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [18.8746442, 30.0948151]}",location-of-as-sabkhah-al-kabirah,precise,representative,2100,1700,2013-07-11T00:09:03Z,/places/364025/location-of-as-sabkhah-al-kabirah,/places/364025,30.0948151,"30.0948151,18.8746442",18.8746442,,M,modern,"1700.0,2100.0",location of As Sabkhah al Kabirah,cfffaedac8a64e04e9d0baa53683bae6,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","9.2542882, 45.7976416, 9.2542882, 45.7976416",2013-04-26T17:48:03Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [9.2542882, 45.7976416]}",location-of-Eupilis-L,precise,representative,2100,1700,2013-07-19T17:36:21Z,/places/383645/location-of-Eupilis-L,/places/383645,45.7976416,"45.7976416,9.2542882",9.2542882,,M,modern,"1700.0,2100.0",location of Eupilis L.,137eee48eab38f5e0c0803a51d5fedae,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","9.266667, 46.0, 9.266667, 46.0",2013-04-30T14:12:56Z,jbecker,1,"coordinates after GeoHack, verified in Google Earth.",lake,"{""type"": ""Point"", ""coordinates"": [9.266667, 46.0]}",location-of-larius-comacinus-l,precise,representative,2100,1700,2013-11-14T02:46:07Z,/places/383689/location-of-larius-comacinus-l,/places/383689,46,"46,9.266667",9.266667,,M,modern,"1700.0,2100.0",location of Lake Como,b948539978ebbccba24d2faee27b95c5,,,,,32,Early Modern,AFRICA,1450,1
"Becker, J.","10.074, 45.721, 10.074, 45.721",2013-04-30T14:09:40Z,jbecker,2,"coordinates after GeoHack, verified in Google Earth.",lake,"{""type"": ""Point"", ""coordinates"": [10.074, 45.721]}",location-of-sebinnus-l,precise,representative,2100,1700,2013-11-14T02:40:10Z,/places/383772/location-of-sebinnus-l,/places/383772,45.721,"45.721,10.074",10.074,,M,modern,"1700.0,2100.0",location of Lake Iseo,78fb8ab8fa03155ddebbddca68c723a7,,,,,31,Early Modern,AFRICA,1450,1
"Becker, J.","8.5996895, 45.7253468, 8.5996895, 45.7253468",2013-04-30T01:34:14Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [8.5996895, 45.7253468]}",location-of-Verbanus-L,precise,representative,2100,1700,2013-07-24T20:59:28Z,/places/383814/location-of-Verbanus-L,/places/383814,45.7253468,"45.7253468,8.5996895",8.5996895,,M,modern,"1700.0,2100.0",location of Verbanus L.,697abaa32e823e08dd960f5fd5e50f6a,,,,,30,Early Modern,AFRICA,1450,1
"Becker, J.","35.16, 45.42, 35.16, 45.42",2013-05-31T17:40:21Z,jbecker,0,coordinates after GeoHack.,lake,"{""type"": ""Point"", ""coordinates"": [35.16, 45.42]}",location-of-sapra-limne,precise,representative,2100,1700,2013-06-03T16:49:45Z,/places/854729/location-of-sapra-limne,/places/854729,45.42,"45.42,35.16",35.16,,M,modern,"1700.0,2100.0",location of Sapra Limne,3215f99b771ceaee3ab80a4364f2edf8,,,,,31,Early Modern,AFRICA,1450,1
"Becker, J.","33.383333, 38.733333, 33.383333, 38.733333",2013-02-25T16:51:21Z,jbecker,1,verified in Google Earth 2013.,lake,"{""type"": ""Point"", ""coordinates"": [33.383333, 38.733333]}",location-of-tatta-l,precise,representative,2100,1700,2013-08-02T00:30:39Z,/places/619268/location-of-tatta-l,/places/619268,38.733333,"38.733333,33.383333",33.383333,,M,modern,"1700.0,2100.0",location of Tatta L.,6de5fc8f3878f956034b83e561737360,,,,,30,Early Modern,AFRICA,1450,1
"Becker, J.","29.642048, 37.5432895, 29.642048, 37.5432895",2013-05-29T21:04:23Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [29.642048, 37.5432895]}",location-of-Aulindenos-L,precise,representative,2100,1700,2013-07-29T03:41:56Z,/places/638781/location-of-Aulindenos-L,/places/638781,37.5432895,"37.5432895,29.642048",29.642048,,M,modern,"1700.0,2100.0",location of Aulindenos? L.,96d6892ca6613dc4495e7573e59b8ade,,,,,-2,Early Modern,AFRICA,1450,1
"Becker, J., R. Horne","29.88333, 37.05, 29.88333, 37.05",2014-01-19T17:54:07Z,jbecker,2,Representative location based on GeoNames.,lake,"{""type"": ""Point"", ""coordinates"": [29.88333, 37.05]}",location-of-manay,precise,"representative,",2100,1700,2016-09-24T04:57:01Z,/places/638882/location-of-manay,/places/638882,37.05,"37.05,29.88333",29.88333,,M,modern,"1700.0,2100.0",GeoNames location of Manay (lake),a3d676acad1ef6c096c7941eda0ad298,,,,,31,Early Modern,AFRICA,1450,1
"Becker, J.","29.9173606, 37.8157048, 29.9173606, 37.8157048",2013-05-29T21:37:32Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [29.9173606, 37.8157048]}",location-of-Sanaos-L,precise,representative,2100,1700,2013-07-15T00:07:08Z,/places/639091/location-of-Sanaos-L,/places/639091,37.8157048,"37.8157048,29.9173606",29.9173606,,M,modern,"1700.0,2100.0",location of Sanaos L.,97bbe7c58630f73f0758b60324162383,,,,,31,Early Modern,AFRICA,1450,1
"Becker, J.","12.711438, 41.892331, 12.711438, 41.892331",2013-01-23T20:12:16Z,jbecker,0,verified in Google Earth 2013.,lake,"{""type"": ""Point"", ""coordinates"": [12.711438, 41.892331]}",location-of-lago-di-castiglione,precise,representative,2100,1700,2013-04-12T20:35:21Z,/places/132860152/location-of-lago-di-castiglione,/places/132860152,41.892331,"41.892331,12.711438",12.711438,,M,modern,"1700.0,2100.0",location of Lago di Castiglione,09eeaa550f1853e01482fd1a87619258,,,,,32,Early Modern,AFRICA,1450,1
"Becker, J.","9.866667, 37.183333, 9.866667, 37.183333",2013-04-21T19:17:35Z,jbecker,0,verified in Google Earth 2013.,lake,"{""type"": ""Point"", ""coordinates"": [9.866667, 37.183333]}",location-of-hipponensis-l,precise,representative,2100,1700,2013-04-22T13:24:35Z,/places/315039/location-of-hipponensis-l,/places/315039,37.183333,"37.183333,9.866667",9.866667,,M,modern,"1700.0,2100.0",location of Hipponensis L.,13f827b561aa2af048e61ead0f3c2e40,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","9.666667, 37.166667, 9.666667, 37.166667",2013-04-21T19:21:05Z,jbecker,0,"coordinates after GeoHack, verified in Google Earth 2013.",lake,"{""type"": ""Point"", ""coordinates"": [9.666667, 37.166667]}",location-of-sisara-limne,precise,representative,2100,1700,2013-04-22T13:23:54Z,/places/315175/location-of-sisara-limne,/places/315175,37.166667,"37.166667,9.666667",9.666667,,M,modern,"1700.0,2100.0",location of Sisara Limne,3b312ac493aab00fdd4cde6de6bb660e,,,,,32,Early Modern,AFRICA,1450,1
"Becker, J.","60.0, 45.0, 60.0, 45.0",2013-04-15T19:07:53Z,jbecker,0,coordinates after GeoHack,lake,"{""type"": ""Point"", ""coordinates"": [60.0, 45.0]}",location-of-aral-sea,precise,representative,2100,1700,2013-04-16T13:56:48Z,/places/442241741/location-of-aral-sea,/places/442241741,45,"45.0,60.0",60,,M,modern,"1700.0,2100.0",location of Aral Sea,46dae3d18ce9d75aebb8cfdfbb2f35e0,,,,,30,Early Modern,AFRICA,1450,1
"Becker, J.","35.7674715, 33.2290177, 35.7674715, 33.2290177",2013-06-03T13:52:18Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [35.7674715, 33.2290177]}",location-of-phiale-limne,precise,representative,2100,1700,2013-06-03T16:48:04Z,/places/678330/location-of-phiale-limne,/places/678330,33.2290177,"33.2290177,35.7674715",35.7674715,,M,modern,"1700.0,2100.0",location of Phiale Limne,620267e5839c1ceae22948bd451a5be8,,,,,27,Early Modern,AFRICA,1450,1
"Becker, J.","35.598237, 33.1084699, 35.598237, 33.1084699",2013-05-20T21:15:01Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [35.598237, 33.1084699]}",location-of-Semachonitis-L,precise,representative,2100,1700,2013-07-20T01:22:19Z,/places/678385/location-of-Semachonitis-L,/places/678385,33.1084699,"33.1084699,35.598237",35.598237,,M,modern,"1700.0,2100.0",location of Semachonitis L.,399727acf41026e8f483be292e8c084b,,,,,27,Early Modern,AFRICA,1450,1
"Becker, J.","35.5816236, 31.7567108, 35.5816236, 31.7567108",2013-05-18T01:29:39Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [35.5816236, 31.7567108]}",location-of-Mortuum-Mare-Asphaltitis-L,precise,representative,2100,1700,2013-07-19T18:23:39Z,/places/697709/location-of-Mortuum-Mare-Asphaltitis-L,/places/697709,31.7567108,"31.7567108,35.5816236",35.5816236,,M,modern,"1700.0,2100.0",location of Mortuum Mare/Asphaltitis L.,f6f2911fb2f425a587741f66df8c917a,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","30.1892493, 31.2386531, 30.1892493, 31.2386531",2013-05-17T19:16:09Z,jbecker,1,"Modern Lake Idku, Egypt. Location based on OpenStreetMap.",lake,"{""type"": ""Point"", ""coordinates"": [30.1892493, 31.2386531]}",location-of-kanopike-limne,precise,representative,2100,1700,2014-01-10T20:29:37Z,/places/727139/location-of-kanopike-limne,/places/727139,31.2386531,"31.2386531,30.1892493",30.1892493,,M,modern,"1700.0,2100.0",location of Kanopike Limne,acfbaece89cdc4859c341489f48ebb7a,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","30.9481907, 31.4877201, 30.9481907, 31.4877201",2013-05-17T19:19:07Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [30.9481907, 31.4877201]}",location-of-paralios-limne,precise,representative,2100,1700,2014-01-10T20:31:19Z,/places/727187/location-of-paralios-limne,/places/727187,31.4877201,"31.4877201,30.9481907",30.9481907,,M,modern,"1700.0,2100.0",location of Paralios Limne,eb8aaffc9e1e75e81e022d6e2cc5ff64,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","30.580833, 29.453611, 30.580833, 29.453611",2013-02-20T18:31:12Z,jbecker,0,verified in Google Earth 2013.,lake,"{""type"": ""Point"", ""coordinates"": [30.580833, 29.453611]}",location-of-moeris-l,precise,representative,2100,1700,2013-04-12T21:19:05Z,/places/736967/location-of-moeris-l,/places/736967,29.453611,"29.453611,30.580833",30.580833,,M,modern,"1700.0,2100.0",location of Moeris L.,7f6a1f6a70ae059dbc52e79264bd8a70,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","73.7, 37.45, 73.7, 37.45",2013-10-21T04:29:31Z,jbecker,4,coordinates after GeoHack.,lake,"{""type"": ""Point"", ""coordinates"": [73.7, 37.45]}",location-of-oaxus-l,precise,"representative,",2100,1700,2016-10-01T16:16:15Z,/places/59950/location-of-oaxus-l,/places/59950,37.45,"37.45,73.7",73.7,,M,modern,"1700.0,2100.0",Imagery location of Lake Zorkul,86d59bb04efbe66abf13dc33d49da888,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","66.8, 40.916667, 66.8, 40.916667",2013-05-21T23:55:39Z,jbecker,0,Coordinates after GeoHack.,lake,"{""type"": ""Point"", ""coordinates"": [66.8, 40.916667]}",location-of-aydar-lake,precise,representative,2100,1700,2013-11-25T15:51:05Z,/places/59968/location-of-aydar-lake,/places/59968,40.916667,"40.916667,66.8",66.8,,M,modern,"1700.0,2100.0",location of Aydar Lake,4842a43b8f9d0db2a67d475b4aeed5e3,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","14.0523881, 40.8302726, 14.0523881, 40.8302726",2013-09-03T03:51:41Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [14.0523881, 40.8302726]}",location-of-acherusia-palus,precise,representative,2100,1700,2014-01-26T06:55:54Z,/places/432622/location-of-acherusia-palus,/places/432622,40.8302726,"40.8302726,14.0523881",14.0523881,,M,modern,"1700.0,2100.0",location of Lago Fusaro,0fd5c72d613b2619e1f26fc2406ce0e3,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","14.075, 40.838333, 14.075, 40.838333",2013-01-18T18:59:45Z,jbecker,1,verified in Google Earth 2013,lake,"{""type"": ""Point"", ""coordinates"": [14.075, 40.838333]}",centerpoint-of-avernus-lacus,precise,representative,2100,1700,2013-04-12T17:44:18Z,/places/432712/centerpoint-of-avernus-lacus,/places/432712,40.838333,"40.838333,14.075",14.075,,M,modern,"1700.0,2100.0",centerpoint of Avernus Lacus,654e277b053018e54bff57009bc86da6,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","13.547222, 41.995, 13.547222, 41.995",2013-04-08T00:44:02Z,jbecker,2,"coordinates after GeoHack, verified in Google Earth.",lake,"{""type"": ""Point"", ""coordinates"": [13.547222, 41.995]}",location-of-fucinus-l,precise,"representative,",2100,1700,2018-06-07T23:16:27Z,/places/432853/location-of-fucinus-l,/places/432853,41.995,"41.995,13.547222",13.547222,,M,modern,"1700.0,2100.0",Imagery location of Fucinus L.,6ccc094b8633c98d82b1841bc040e733,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","13.3017682, 41.3111267, 13.3017682, 41.3111267",2013-10-12T23:35:13Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [13.3017682, 41.3111267]}",location-of-Fundanus-L,precise,representative,2100,1700,2013-10-18T10:21:40Z,/places/432854/location-of-Fundanus-L,/places/432854,41.3111267,"41.3111267,13.3017682",13.3017682,,M,modern,"1700.0,2100.0",location of Fundanus L.,0e116a48fd59c69559a5178861eb4002,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","15.44028, 41.88778, 15.44028, 41.88778",2013-01-26T16:57:37Z,jbecker,2,verified in Google Earth 2013.,lake,"{""type"": ""Point"", ""coordinates"": [15.44028, 41.88778]}",location-of-pantanus-l,precise,representative,2100,1700,2013-06-11T10:10:28Z,/places/442710/location-of-pantanus-l,/places/442710,41.88778,"41.88778,15.44028",15.44028,,M,modern,"1700.0,2100.0",location of Pantanus L.,b5627ab611e20c054a37a6c3490c6b3d,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","16.0485752, 41.3826085, 16.0485752, 41.3826085",2013-06-10T18:56:11Z,jbecker,1,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [16.0485752, 41.3826085]}",location-of-saline-di-margherita-di-savoia,precise,representative,2100,1700,2013-06-11T10:12:09Z,/places/442760/location-of-saline-di-margherita-di-savoia,/places/442760,41.3826085,"41.3826085,16.0485752",16.0485752,,M,modern,"1700.0,2100.0",location of Saline di Margherita di Savoia,f6961bb91afc136172add99fdb8ccb81,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","24.1390285, 38.335221, 24.1390285, 38.335221",2013-10-21T13:25:18Z,jbecker,2,Location based on OpenStreetMap,lake,"{""type"": ""Point"", ""coordinates"": [24.1390285, 38.335221]}",location-of-Dystos-L,precise,representative,2100,1700,2013-11-25T14:36:14Z,/places/540747/location-of-Dystos-L,/places/540747,38.335221,"38.335221,24.1390285",24.1390285,,M,modern,"1700.0,2100.0",location of Dystos,6b4ee92cd65d864661a47d292973c450,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","36.9968029, 11.5964265, 37.6221653, 12.3052865",2016-07-27T20:52:26Z,jbecker,1,Representative location based on an OpenStreetMap relation.,lake,"{""type"": ""Polygon"", ""coordinates"": [[[37.3884603, 11.5964265], [37.3872988, 11.5966097], [37.3474016, 11.6173673], [37.3469372, 11.6176981], [37.2973807, 11.6535779], [37.0939633, 11.8038424], [37.0532795, 11.8362705], [37.0024678, 11.8866693], [36.9986912, 11.8913727], [36.9968029, 11.9016191], [37.0141407, 12.0425103], [37.0352551, 12.1532906], [37.0380017, 12.1615134], [37.0476147, 12.1819852], [37.0651242, 12.213529], [37.0953366, 12.2480886], [37.147865, 12.269728], [37.1523281, 12.2705667], [37.4820897, 12.3052865], [37.4929043, 12.3044479], [37.5035473, 12.2980746], [37.5581356, 12.2316482], [37.5627705, 12.2252731], [37.6180455, 12.1130122], [37.6204487, 12.1031095], [37.6221653, 12.0948849], [37.620792, 12.0849815], [37.6170812, 12.0732543], [37.599787, 12.026617], [37.5734882, 11.9601943], [37.5204671, 11.8403466], [37.4092011, 11.6050321], [37.3947526, 11.5985202], [37.3895426, 11.5965502], [37.3884603, 11.5964265]]]}",osm-location-of-lake-tana-shoreline,precise,"representative,",2100,1700,2020-12-17T18:56:27Z,/places/416452801/osm-location-of-lake-tana-shoreline,/places/416452801,11.93386238,"11.9338623764,37.3131040463",37.31310405,,M,modern,"1700.0,2100.0",OSM location of Lake Tana shoreline,9f3c2fd16a164188b1c42ec174149976,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","-5.4129554, 35.8989516, -5.4129554, 35.8989516",2018-06-18T15:02:27Z,jbecker,1,Location based on OpenStreetMap,mountain,"{""type"": ""Point"", ""coordinates"": [-5.4129554, 35.8989516]}",osm-location-of-jebel-musa,precise,representative,2100,1700,2018-06-22T11:45:17Z,/places/275704/osm-location-of-jebel-musa,/places/275704,35.8989516,"35.8989516,-5.4129554",-5.4129554,,M,modern,"1700.0,2100.0",OSM location of Jebel Musa,805a486799d1483796d0ebd6b557a1bf,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","22.207, 37.974, 22.207, 37.974",2013-05-15T02:56:48Z,jbecker,1,"coordinates after GeoHack, verified in Google Earth.",mountain,"{""type"": ""Point"", ""coordinates"": [22.207, 37.974]}",location-of-aroania-m,precise,representative,2100,1700,2018-09-25T21:18:27Z,/places/570112/location-of-aroania-m,/places/570112,37.974,"37.974,22.207",22.207,,M,modern,"1700.0,2100.0",Imagery location of Aroania (mountain),fab44e023206461b414f630e23cabea3,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","22.514885, 37.6197802, 22.514885, 37.6197802",2020-02-23T13:56:03Z,jbecker,1,Location based on OpenStreetMap,mountain,"{""type"": ""Point"", ""coordinates"": [22.514885, 37.6197802]}",osm-location-of-artemisio,precise,representative,2100,1700,2020-03-03T11:46:15Z,/places/570121/osm-location-of-artemisio,/places/570121,37.6197802,"37.6197802,22.514885",22.514885,,M,modern,"1700.0,2100.0",OSM location of Artemisio,6c6496f109fd436fa0db1f5af7b7a841,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J., T. Elliott","38.890095, 39.863205, 38.890095, 39.863205",2021-03-08T18:24:18Z,jbecker,2,Location based on OpenStreetMap,mountain,"{""type"": ""Point"", ""coordinates"": [38.890095, 39.863205]}",osm-location-of-kurtlu-tepe,precise,representative,2100,1700,2021-03-09T00:17:51Z,/places/628948/osm-location-of-kurtlu-tepe,/places/628948,39.863205,"39.863205,38.890095",38.890095,,M,modern,"1700.0,2100.0",OSM location of Kurtlu Tepe,b814dacec8bdbc83227d9f83aa887d11,,,,,36,Early Modern,AFRICA,1450,1
"Becker, J.","30.7268567, 37.7545388, 30.7268567, 37.7545388",2015-01-10T19:03:58Z,jbecker,2,Location based on OpenStreetMap,mountain,"{""type"": ""Point"", ""coordinates"": [30.7268567, 37.7545388]}",osm-location,precise,representative,2100,1700,2021-03-02T12:01:19Z,/places/639030/osm-location,/places/639030,37.7545388,"37.7545388,30.7268567",30.7268567,,M,modern,"1700.0,2100.0",OSM location of Mount Davraz,6c323599a6bef9e4a2aa74a9b99a28a2,,,,,35,Early Modern,AFRICA,1450,1
